"","station","lat","lng","toWorkRate","fromWorkRate","totalWorkRate","weekendRate","weekdayType","weekendType"
"146","이수",37.486263,126.981989,0.842340877117369,0.829460818789487,0.834666515166063,0.673358646085745,"Between","< 0.7 "
"147","이태원",37.534488,126.994302,0.720136914278357,0.569858430843936,0.613567074360068,0.43030211391401,"< 0.7","< 0.7 "
"148","일원",37.483681,127.08439,0.831376397549444,0.809332927092417,0.820704803242982,0.603479180848896,"Between","< 0.7 "
"149","잠실나루",37.520733,127.10379,0.801774923335401,0.775171501529933,0.788327396152858,0.565647424568277,"Between","< 0.7 "
"150","잠실새내",37.511687,127.086162,0.769654876535773,0.750912843746713,0.758486909905309,0.584789186584303,"Between","< 0.7 "
"151","잠원",37.512759,127.01122,0.727809304088145,0.773427918999432,0.750934267522511,0.638757015785378,"Between","< 0.7 "
"152","장승배기",37.504898,126.93915,0.833973032100333,0.819173856387401,0.826455688374107,0.674414186977533,"Between","< 0.7 "
"153","장암",37.700109,127.053196,0.849057409332619,0.878373068276249,0.856354220112878,0.772726818661614,"Between","Between"
"154","장지",37.478703,127.126191,0.832117957229102,0.816588094430724,0.823921831109855,0.637622531092416,"Between","< 0.7 "
"155","장한평",37.56144,127.064623,0.883010592369296,0.860455515636183,0.871317762177459,0.635236689394472,"Between","< 0.7 "
"156","제기동",37.578103,127.034893,0.830671352646245,0.738618814614441,0.777231381999458,0.638566772161792,"Between","< 0.7 "
"157","종각",37.570161,126.982923,0.806057765246535,0.741253891908749,0.767887326582719,0.491173152458546,"Between","< 0.7 "
"158","종로3가",37.571607,126.991806,0.824711766744425,0.709047544675931,0.740656710580078,0.53085826917102,"Between","< 0.7 "
"159","종로5가",37.570926,127.001849,0.841982651428964,0.742166872134597,0.778476888789161,0.537067482546463,"Between","< 0.7 "
"160","종합운동장",37.510997,127.073642,0.654112910747039,0.521525867324159,0.574847424612475,0.273025631045479,"< 0.7","< 0.7 "
"161","중계",37.644583,127.064303,0.797956241820769,0.801533778898255,0.799548925290867,0.639530652546327,"Between","< 0.7 "
"162","중곡",37.565923,127.08432,0.831127467593278,0.844502705323584,0.837515919309648,0.703449196031938,"Between","Between"
"163","중화",37.602545,127.079264,0.850343137971795,0.850466763965784,0.850405134600035,0.700199848640712,"Between","Between"
"164","지축",37.648048,126.913951,2.05365647767551,2.03853586991629,2.04646966448223,1.41409578892145,"> 0.9","> 0.9"
"165","창동",37.653166,127.047731,0.813948279488593,0.830855789147372,0.823001205990364,0.67568643941606,"Between","< 0.7 "
"166","창신",37.579661,127.015241,0.790005995233059,0.846314978264074,0.811732669710709,0.690440030681926,"Between","< 0.7 "
"167","천왕",37.486637,126.838713,0.933140568738316,0.97909569477416,0.954288800457275,0.733801696815464,"> 0.9","Between"
"168","철산",37.47605,126.867911,0.829919745168288,0.82462912829554,0.827090632241096,0.644238531197515,"Between","< 0.7 "
"169","청구",37.560245,127.013828,0.849184618735678,0.864242377536151,0.856816674671158,0.695434734998848,"Between","< 0.7 "
"170","청담",37.519365,127.05335,0.850706277022002,0.855707166626868,0.853252364073443,0.672742889236637,"Between","< 0.7 "
"171","춘의",37.503663,126.787036,0.893238619226409,0.897497678674759,0.895266943587013,0.691920070630436,"Between","< 0.7 "
"172","충무로",37.561243,126.99428,0.832887400888926,0.755441758974319,0.786705908414531,0.50714035788288,"Between","< 0.7 "
"173","태릉입구",37.617983,127.07512,0.808489845605868,0.808078115983498,0.808267169529689,0.671682231399111,"Between","< 0.7 "
"174","하계",37.636352,127.06799,0.818587512555184,0.801092427957635,0.809946423571973,0.639365684687712,"Between","< 0.7 "
"175","학동",37.514229,127.031656,0.931967511805522,0.935609879128564,0.933975680639954,0.676704330431962,"> 0.9","< 0.7 "
"176","학여울",37.496663,127.070594,0.82012209010979,0.778205380693944,0.797469767896306,0.319570850494777,"Between","< 0.7 "
"177","한강진",37.539631,127.001725,0.767987984352103,0.754395935126119,0.759722106906059,0.611597660126946,"Between","< 0.7 "
"178","한양대",37.555273,127.043655,0.610414086969189,0.568551806108468,0.585536902487355,0.507671536474547,"< 0.7","< 0.7 "
"179","합정",37.549463,126.913739,0.824622897059995,0.809738132348468,0.815210639879829,0.649198707036619,"Between","< 0.7 "
"180","행당",37.557322,127.029476,0.818192105417258,0.860071688778623,0.837631665757872,0.672520334060786,"Between","< 0.7 "
"181","혜화",37.582336,127.001844,0.797787651433275,0.674590776078205,0.715454196157175,0.512270348493037,"Between","< 0.7 "
"182","홍대입구",37.557192,126.925381,0.761198563366867,0.62786685150299,0.661682255939113,0.495312222144749,"< 0.7","< 0.7 "
"183","홍제",37.589066,126.943736,0.815946201691484,0.820411148507992,0.81824272922489,0.658753155729895,"Between","< 0.7 "
"184","화곡",37.541513,126.840461,0.835883323172741,0.848692573023049,0.842218517964503,0.682809703737035,"Between","< 0.7 "
"185","효창공원앞",37.539261,126.961351,0.827906436512393,0.853457861016254,0.841151358569855,0.675060600247633,"Between","< 0.7 "
