지하철역,time_04_05,time_05_06,time_06_07,time_07_08,time_08_09,time_09_10,time_10_11,time_11_12,time_12_13,time_13_14,time_14_15,time_15_16,time_16_17,time_17_18,time_18_19,time_19_20,time_20_21,time_21_22,time_22_23,time_23_24,time_00_01,time_01_02,time_02_03,time_03_04
수내,1892,47812,142817,351050,787886,588004,337156,293295,330810,351691,376439,386119,433742,566789,808758,520717,413769,300967,250503,99900,12330,9,0,0
수락산,321,109274,293391,644973,719363,482694,385856,341905,349872,352449,356099,382932,426524,493941,668936,637200,385900,312081,264938,156520,34187,277,3,0
수리산,111,40550,117295,251086,252781,145252,116675,100128,100996,97947,93707,103902,111012,129537,190250,151643,94129,78361,67572,41627,9117,3,4,0
수색,4,11301,46276,85231,207789,120089,57593,44325,45240,55402,49897,53572,67252,118015,169487,89380,49919,38441,30841,14433,2252,3,0,0
수서,3328,140688,481786,1169021,1884420,1144151,889257,722417,880010,867632,782367,968992,1109004,1385370,1923733,1180026,906887,678655,608368,273398,30264,968,0,1
수원,34090,351711,791315,1651127,1828092,1313107,1078827,1156864,1327599,1380023,1384562,1478695,1755177,2112504,2639831,2116010,1612280,1260712,1022223,508838,87434,58,19,2
수원시청,4455,74856,173857,404849,701234,416439,261532,270676,315055,332348,319554,353480,405853,545743,794417,571008,390683,359188,288685,162116,23579,12,2,1
수유(강북구청),1382,266257,622544,1462630,2053958,1297153,891917,844936,902119,952897,974146,1040708,1181466,1429375,2062616,1692827,1092681,972569,801324,490027,38831,144,1,0
수진,25,47257,95199,203158,325425,183760,137571,134272,141058,163149,151175,169448,184552,201022,249727,191208,126421,113148,93046,52978,9095,640,2,0
숙대입구(갈월),163,43560,157473,403788,840995,520099,318697,315061,339512,364127,368241,389388,460931,611986,911194,523331,349198,328368,271959,149314,10527,51,3,0
숭실대입구(살피재),472,72895,168624,471668,762651,480399,300280,284851,312059,333027,320270,341890,402429,521993,699797,524984,341419,321014,283466,175493,22835,38,5,0
숭의,99,39545,83462,208055,220008,106145,88448,88114,99060,103873,98402,106144,123259,171250,209484,108729,71490,69988,50209,28296,6647,3,0,0
시청,724,91453,418370,1554915,4272731,2075072,870899,893749,865642,982554,1023719,1097238,1147872,1967741,3708425,1434509,959383,891771,562915,212523,12324,316,17,0
신갈,780,32033,103908,220794,269284,145048,107185,105430,107999,118476,116466,122566,137747,164548,225833,178930,121134,102193,93387,59281,7527,7,0,0
신금호,145,34522,101601,308462,432052,229744,154862,141190,155656,162587,158182,178219,212178,255876,378767,267150,166000,143244,118510,70364,9900,24,1,0
신길,9290,171308,240863,602243,1024978,470527,255324,238503,261899,279785,259055,293317,355203,534928,910939,485533,306544,315150,243203,137099,15347,38,3,0
신길온천,167,19772,50762,103915,83183,44780,38812,36706,37681,36153,37923,42606,49573,71908,90454,64428,44260,34555,25829,17925,6493,115,1,1
신내,105,13959,53029,84548,93046,41566,34366,33131,35784,35813,38995,45170,55485,69964,74081,52836,27553,24127,19329,12296,1837,1,0,0
